,index,action,adventure,animation,children,comedy,crime,date,documentary,drama,fantasy,horror,id,musical,mystery,noir,romance,scifi,thriller,title,war,western,Unnamed: 0,dates,domestic gross,production budget,title,worldwide gross
48,All Things Fair (1996),0,0,0,0,0,0,8-Mar-96,0,1,0,0,1619,0,0,0,0,0,0,All Things Fair,,,48,5/28/10,"$90,759,676","$200,000,000", Prince of Persia: Sands of Time,"$314,594,597"
49,Alphaville (1965),0,0,0,0,0,0,1-Jan-65,0,0,0,0,1154,0,0,0,0,1,0,Alphaville,,,49,6/29/11,"$352,390,543","$195,000,000", Transformers: Dark of the Moon,"$1,123,790,543"
50,Amadeus (1984),0,0,0,0,0,0,1-Jan-84,0,1,0,0,191,0,1,0,0,0,0,Amadeus,,,50,3/1/13,"$65,187,603","$195,000,000", Jack the Giant Slayer,"$197,687,603"
51,Amateur (1994),0,0,0,0,0,1,1-Jan-94,0,1,0,0,1069,0,0,0,0,0,1,Amateur,,,51,4/3/15,"$351,032,910","$190,000,000", Furious 7,"$1,514,019,071"
52,"Amazing Panda Adventure, The (1995)",0,1,0,1,0,0,1-Jan-95,0,0,0,0,1540,0,0,0,0,0,0,"Amazing Panda Adventure, The",,,52,5/15/13,"$228,778,661","$190,000,000", Star Trek Into Darkness,"$467,381,584"
53,American Buffalo (1996),0,0,0,0,0,0,13-Sep-96,0,1,0,0,1335,0,0,0,0,0,0,American Buffalo,,,53,6/21/13,"$202,359,711","$190,000,000", World War Z,"$531,514,650"
54,American Dream (1990),0,0,0,0,0,0,1-Jan-90,1,0,0,0,1585,0,0,0,0,0,0,American Dream,,,54,5/10/13,"$144,840,419","$190,000,000", The Great Gatsby,"$351,040,419"
55,"American President, The (1995)",0,0,0,0,1,0,1-Jan-95,0,1,0,0,692,0,0,0,1,0,0,"American President, The",,,55,11/6/09,"$137,855,863","$190,000,000", Disney's A Christmas Carol,"$315,709,697"
56,American Strays (1996),1,0,0,0,0,0,13-Sep-96,0,0,0,0,1362,0,0,0,0,0,0,American Strays,,,56,7/12/13,"$101,802,906","$190,000,000", Pacific Rim,"$411,002,906"
57,"American Werewolf in London, An (1981)",0,0,0,0,0,0,1-Jan-81,0,0,0,1,436,0,0,0,0,0,0,"American Werewolf in London, An",,,57,11/25/15,"$123,087,120","$187,500,000", The Good Dinosaur,"$334,354,269"
58,"American in Paris, An (1951)",0,0,0,0,0,0,1-Jan-51,0,0,0,0,602,1,0,0,1,0,0,"American in Paris, An",,,58,5/2/08,"$318,604,126","$186,000,000", Iron Man,"$582,443,126"
59,Amistad (1997),0,0,0,0,0,0,18-Dec-97,0,1,0,0,750,0,0,0,0,0,0,Amistad,,,59,7/18/08,"$533,345,358","$185,000,000", The Dark Knight,"$1,002,891,358"
60,Amityville 1992: It's About Time (1992),0,0,0,0,0,0,1-Jan-92,0,0,0,1,437,0,0,0,0,0,0,Amityville 1992: It's About Time,,,60,5/22/08,"$317,023,851","$185,000,000", Indiana Jones and the Kingdom of the Crystal Skull,"$786,558,145"
61,Amityville 3-D (1983),0,0,0,0,0,0,1-Jan-83,0,0,0,1,438,0,0,0,0,0,0,Amityville 3-D,,,61,6/22/12,"$237,282,182","$185,000,000", Brave,"$554,606,532"
62,"Amityville Curse, The (1990)",0,0,0,0,0,0,1-Jan-90,0,0,0,1,442,0,0,0,0,0,0,"Amityville Curse, The",,,62,12/9/05,"$291,710,957","$180,000,000"," The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","$720,539,572"
63,"Amityville Horror, The (1979)",0,0,0,0,0,0,1-Jan-79,0,0,0,1,441,0,0,0,0,0,0,"Amityville Horror, The",,,63,5/30/14,"$241,407,328","$180,000,000", Maleficent,"$758,536,735"
64,Amityville II: The Possession (1982),0,0,0,0,0,0,1-Jan-82,0,0,0,1,440,0,0,0,0,0,0,Amityville II: The Possession,,,64,6/27/08,"$223,808,164","$180,000,000", WALL-E,"$532,590,994"
65,Amityville: A New Generation (1993),0,0,0,0,0,0,1-Jan-93,0,0,0,1,439,0,0,0,0,0,0,Amityville: A New Generation,,,65,8/10/07,"$140,125,968","$180,000,000", Rush Hour 3,"$256,585,882"
66,Amityville: Dollhouse (1996),0,0,0,0,0,0,1-Jan-96,0,0,0,1,858,0,0,0,0,0,0,Amityville: Dollhouse,,,66,11/23/11,"$73,864,507","$180,000,000", Hugo,"$180,047,784"
67,Amos & Andrew (1993),0,0,0,0,1,0,1-Jan-93,0,0,0,0,1206,0,0,0,0,0,0,Amos & Andrew,,,67,7/1/16,"$46,582,405","$180,000,000", The Legend of Tarzan,"$65,382,405"
68,An Unforgettable Summer (1994),0,0,0,0,0,0,1-Jan-94,0,1,0,0,1330,0,0,0,0,0,0,An Unforgettable Summer,,,68,7/21/17,$0,"$180,000,000", Valerian and the City of a Thousand Planets,$0
69,Anaconda (1997),1,1,0,0,0,0,11-Apr-97,0,0,0,0,1013,0,0,0,0,0,1,Anaconda,,,69,2/6/15,"$47,482,519","$179,000,000", Jupiter Ascending,"$181,982,519"
70,Anastasia (1997),0,0,1,1,0,0,1-Jan-97,0,0,0,0,538,1,0,0,0,0,0,Anastasia,,,70,5/27/16,"$153,872,007","$178,000,000", X-Men: Apocalypse,"$529,272,007"
71,Andre (1994),0,1,0,1,0,0,1-Jan-94,0,0,0,0,812,0,0,0,0,0,0,Andre,,,71,6/6/14,"$100,206,256","$178,000,000", Edge of Tomorrow,"$364,406,256"
72,Angel Baby (1995),0,0,0,0,0,0,10-Jan-97,0,1,0,0,1643,0,0,0,0,0,0,Angel Baby,,,72,4/15/16,"$359,618,186","$175,000,000", The Jungle Book,"$934,118,186"
73,Angel and the Badman (1947),0,0,0,0,0,0,1-Jan-47,0,0,0,0,1454,0,0,0,0,0,0,Angel and the Badman,,,73,6/19/15,"$356,461,711","$175,000,000", Inside Out,"$853,923,085"
74,Angel on My Shoulder (1946),0,0,0,0,0,1,1-Jan-46,0,1,0,0,1453,0,0,0,0,0,0,Angel on My Shoulder,,,74,5/29/09,"$293,004,164","$175,000,000", Up,"$731,542,621"
75,Angela (1995),0,0,0,0,0,0,16-Feb-96,0,1,0,0,1603,0,0,0,0,0,0,Angela,,,75,3/27/09,"$198,351,526","$175,000,000", Monsters vs. Aliens,"$381,687,380"
76,Angels and Insects (1995),0,0,0,0,0,0,1-Jan-95,0,1,0,0,20,0,0,0,1,0,0,Angels and Insects,,,76,8/7/09,"$150,201,498","$175,000,000", G.I. Joe: The Rise of Cobra,"$302,469,017"
77,Angels in the Outfield (1994),0,0,0,1,1,0,1-Jan-94,0,0,0,0,623,0,0,0,0,0,0,Angels in the Outfield,,,77,6/30/99,"$113,805,681","$175,000,000", Wild Wild West,"$221,229,335"
78,Angus (1995),0,0,0,0,1,0,1-Jan-95,0,0,0,0,1225,0,0,0,0,0,0,Angus,,,78,8/1/08,"$102,491,776","$175,000,000", The Mummy: Tomb of the Dragon Emperor,"$405,760,225"
79,Anna (1996),0,0,0,0,0,0,13-Nov-96,0,1,0,0,1398,0,0,0,0,0,0,Anna,,,79,6/22/07,"$100,289,690","$175,000,000", Evan Almighty,"$174,131,329"
80,Anna Karenina (1997),0,0,0,0,0,0,4-Apr-97,0,1,0,0,990,0,0,0,1,0,0,Anna Karenina,,,80,7/28/95,"$88,246,220","$175,000,000", Waterworld,"$264,246,220"
81,Anne Frank Remembered (1995),0,0,0,0,0,0,23-Feb-96,1,0,0,0,1084,0,0,0,0,0,0,Anne Frank Remembered,,,81,12/25/13,"$38,362,475","$175,000,000", 47 Ronin,"$151,659,062"
82,Annie Hall (1977),0,0,0,0,1,0,1-Jan-77,0,0,0,0,514,0,0,0,1,0,0,Annie Hall,,,82,12/31/20,$0,"$175,000,000", Singularity,$0
83,Another Stakeout (1993),0,0,0,0,1,0,1-Jan-93,0,0,0,0,571,0,0,0,0,0,1,Another Stakeout,,,83,8/1/14,"$333,172,112","$170,000,000", Guardians of the Galaxy,"$771,172,112"
84,Antonia's Line (1995),0,0,0,0,0,0,1-Jan-95,0,1,0,0,19,0,0,0,0,0,0,Antonia's Line,,,84,5/7/10,"$312,433,331","$170,000,000", Iron Man 2,"$623,561,331"
85,Aparajito (1956),0,0,0,0,0,0,29-Mar-96,0,1,0,0,1558,0,0,0,0,0,0,Aparajito,,,85,4/4/14,"$259,746,958","$170,000,000", Captain America: The Winter Soldier,"$714,401,889"
86,"Apartment, The (1960)",0,0,0,0,1,0,1-Jan-60,0,1,0,0,481,0,0,0,0,0,0,"Apartment, The",,,86,7/11/14,"$208,545,589","$170,000,000", Dawn of the Planet of the Apes,"$703,545,589"
87,Apocalypse Now (1979),0,0,0,0,0,0,1-Jan-79,0,1,0,0,180,0,0,0,0,0,0,Apocalypse Now,,,87,11/10/04,"$194,949,659","$170,000,000", The Polar Express,"$319,090,241"
88,Apollo 13 (1995),1,0,0,0,0,0,1-Jan-95,0,1,0,0,28,0,0,0,0,0,1,Apollo 13,,,88,6/1/12,"$155,136,755","$170,000,000", Snow White and the Huntsman,"$401,016,924"
89,"Apostle, The (1997)",0,0,0,0,0,0,18-Dec-97,0,1,0,0,344,0,0,0,0,0,0,"Apostle, The",,,89,7/1/03,"$150,358,296","$170,000,000", Terminator 3: Rise of the Machines,"$433,058,296"
90,"Apple Dumpling Gang, The (1975)",0,0,0,1,1,0,1-Jan-75,0,0,0,0,415,0,0,0,0,0,0,"Apple Dumpling Gang, The",,,90,5/7/04,"$120,150,546","$170,000,000", Van Helsing,"$300,150,546"
91,April Fool's Day (1986),0,0,0,0,1,0,1-Jan-86,0,0,0,1,859,0,0,0,0,0,0,April Fool's Day,,,91,5/22/15,"$93,436,322","$170,000,000", Tomorrowland,"$205,336,322"
92,Apt Pupil (1998),0,0,0,0,0,0,23-Oct-98,0,1,0,0,315,0,0,0,0,0,1,Apt Pupil,,,92,5/27/16,"$75,744,909","$170,000,000", Alice Through the Looking Glass,"$259,444,909"
93,"Aristocats, The (1970)",0,0,1,1,0,0,1-Jan-70,0,0,0,0,102,0,0,0,0,0,0,"Aristocats, The",,,93,5/21/10,"$238,736,787","$165,000,000", Shrek Forever After,"$756,244,673"
94,Army of Darkness (1993),1,1,0,0,1,0,1-Jan-93,0,0,0,1,184,0,0,0,0,1,0,Army of Darkness,,,94,11/7/14,"$222,527,828","$165,000,000", Big Hero 6,"$652,127,828"
95,Around the World in 80 Days (1956),0,1,0,0,1,0,1-Jan-56,0,0,0,0,495,0,0,0,0,0,0,Around the World in 80 Days,,,95,3/26/10,"$217,581,231","$165,000,000", How to Train Your Dragon,"$494,870,991"
96,"Arrival, The (1996)",1,0,0,0,0,0,31-May-96,0,0,0,0,825,0,0,0,0,1,1,"Arrival, The",,,96,11/2/12,"$189,412,677","$165,000,000", Wreck-It Ralph,"$496,511,521"
97,Arsenic and Old Lace (1944),0,0,0,0,1,0,1-Jan-44,0,0,0,0,659,0,1,0,0,0,1,Arsenic and Old Lace,,,97,11/5/14,"$188,017,894","$165,000,000", Interstellar,"$665,417,894"
98,As Good As It Gets (1997),0,0,0,0,1,0,23-Dec-97,0,1,0,0,316,0,0,0,0,0,0,As Good As It Gets,,,98,6/24/16,"$80,383,829","$165,000,000", Independence Day: Resurgence,"$257,483,829"
99,Assassins (1995),0,0,0,0,0,0,1-Jan-95,0,0,0,0,1217,0,0,0,0,0,1,Assassins,,,99,7/29/11,"$100,240,551","$163,000,000", Cowboys and Aliens,"$175,910,315"
100,"Assignment, The (1997)",0,0,0,0,0,0,1-Jan-97,0,0,0,0,359,0,0,0,0,0,1,"Assignment, The",,,100,5/17/07,"$322,719,944","$160,000,000", Shrek the Third,"$807,330,936"
101,"Associate, The (1996)",0,0,0,0,1,0,19-Oct-96,0,0,0,0,1051,0,0,0,0,0,0,"Associate, The",,,101,7/16/10,"$292,576,195","$160,000,000", Inception,"$832,584,416"
102,Audrey Rose (1977),0,0,0,0,0,0,1-Jan-77,0,0,0,1,667,0,0,0,0,0,0,Audrey Rose,,,102,11/20/15,"$281,723,902","$160,000,000", The Hunger Games: Mockingjay - Part 2,"$650,523,427"
103,August (1996),0,0,0,0,0,0,12-Apr-96,0,1,0,0,1325,0,0,0,0,0,0,August,,,103,5/24/13,"$238,679,850","$160,000,000", Fast and Furious 6,"$789,952,811"
104,Austin Powers: International Man of Mystery (1997),0,0,0,0,1,0,2-May-97,0,0,0,0,249,0,0,0,0,0,0,Austin Powers: International Man of Mystery,,,104,5/16/14,"$200,672,193","$160,000,000", Godzilla,"$529,072,193"
105,"Awfully Big Adventure, An (1995)",0,0,0,0,0,0,1-Jan-95,0,1,0,0,1227,0,0,0,0,0,0,"Awfully Big Adventure, An",,,105,6/3/11,"$146,408,305","$160,000,000", X-Men: First Class,"$355,408,305"
106,Ayn Rand: A Sense of Life (1997),0,0,0,0,0,0,13-Feb-98,1,0,0,0,1294,0,0,0,0,0,0,Ayn Rand: A Sense of Life,,,106,12/25/08,"$127,509,326","$160,000,000", The Curious Case of Benjamin Button,"$329,809,326"
107,B*A*P*S (1997),0,0,0,0,1,0,28-Mar-97,0,0,0,0,1609,0,0,0,0,0,0,B*A*P*S,,,107,7/14/10,"$63,150,991","$160,000,000", The Sorcerer's Apprentice,"$217,986,320"
108,B. Monkey (1998),0,0,0,0,0,0,6-Feb-98,0,0,0,0,1679,0,0,0,1,0,1,B. Monkey,,,108,5/12/06,"$60,674,817","$160,000,000", Poseidon,"$181,674,817"
109,Babe (1995),0,0,0,1,1,0,1-Jan-95,0,1,0,0,8,0,0,0,0,0,0,Babe,,,109,6/10/16,"$45,990,540","$160,000,000", Warcraft,"$414,881,053"
110,"Baby-Sitters Club, The (1995)",0,0,0,1,0,0,1-Jan-95,0,0,0,0,791,0,0,0,0,0,0,"Baby-Sitters Club, The",,,110,12/10/10,"$104,386,950","$155,000,000", The Chronicles of Narnia: The Voyage of the Dawn Treader,"$418,186,950"
111,Babyfever (1994),0,0,0,0,1,0,1-Jan-94,0,1,0,0,1308,0,0,0,0,0,0,Babyfever,,,111,7/1/15,"$89,760,956","$155,000,000", Terminator: Genisys,"$440,160,956"
112,"Babysitter, The (1995)",0,0,0,0,0,0,1-Jan-95,0,1,0,0,1508,0,0,0,0,0,1,"Babysitter, The",,,112,11/24/04,"$34,297,191","$155,000,000", Alexander,"$167,297,191"
113,Back to the Future (1985),0,0,0,0,1,0,1-Jan-85,0,0,0,0,204,0,0,0,0,1,0,Back to the Future,,,113,7/15/16,$0,"$154,000,000", Ghostbusters,$0
114,Backbeat (1993),0,0,0,0,0,0,1-Jan-93,0,1,0,0,1153,1,0,0,0,0,0,Backbeat,,,114,5/25/01,"$198,539,855","$151,500,000", Pearl Harbor,"$449,239,855"
115,Bad Boys (1995),1,0,0,0,0,0,1-Jan-95,0,0,0,0,27,0,0,0,0,0,0,Bad Boys,,,115,7/2/07,"$319,246,193","$151,000,000", Transformers,"$708,272,592"
116,Bad Company (1995),1,0,0,0,0,0,1-Jan-95,0,0,0,0,798,0,0,0,0,0,0,Bad Company,,,116,11/22/13,"$400,738,009","$150,000,000", Frozen,"$1,274,234,980"
117,Bad Girls (1994),0,0,0,0,0,0,1-Jan-94,0,0,0,0,1247,0,0,0,0,0,0,Bad Girls,,,117,7/11/07,"$292,004,738","$150,000,000", Harry Potter and the Order of the Phoenix,"$942,943,935"
118,Bad Moon (1996),0,0,0,0,0,0,1-Nov-96,0,0,0,1,706,0,0,0,0,0,0,Bad Moon,,,118,11/18/05,"$290,013,036","$150,000,000", Harry Potter and the Goblet of Fire,"$896,911,078"
119,Bad Taste (1987),0,0,0,0,1,0,1-Jan-87,0,0,0,1,854,0,0,0,0,0,0,Bad Taste,,,119,5/15/03,"$281,553,689","$150,000,000", The Matrix Reloaded,"$738,576,929"
120,"Ballad of Narayama, The (Narayama Bushiko) (1958)",0,0,0,0,0,0,1-Jan-58,0,1,0,0,1347,0,0,0,0,0,0,"Ballad of Narayama, The (Narayama Bushiko)",,,120,12/14/07,"$256,393,010","$150,000,000", I am Legend,"$585,532,684"
121,Balto (1995),0,0,1,1,0,0,1-Jan-95,0,0,0,0,1066,0,0,0,0,0,0,Balto,,,121,7/1/08,"$227,946,274","$150,000,000", Hancock,"$624,234,272"
122,Bananas (1971),0,0,0,0,1,0,1-Jan-71,0,0,0,0,502,0,0,0,0,0,0,Bananas,,,122,7/15/05,"$206,459,076","$150,000,000", Charlie and the Chocolate Factory,"$475,825,484"
123,"Band Wagon, The (1953)",0,0,0,0,1,0,1-Jan-53,0,0,0,0,1298,1,0,0,0,0,0,"Band Wagon, The",,,123,6/29/07,"$206,445,654","$150,000,000", Ratatouille,"$626,549,695"
124,Barb Wire (1996),1,0,0,0,0,0,3-May-96,0,0,0,0,1215,0,0,0,0,1,0,Barb Wire,,,124,11/8/13,"$206,360,018","$150,000,000", Thor: The Dark World,"$644,600,394"
125,Barbarella (1968),0,1,0,0,0,0,1-Jan-68,0,0,0,0,1411,0,0,0,0,1,0,Barbarella,,,125,6/15/05,"$205,343,774","$150,000,000", Batman Begins,"$359,142,722"
